Drop-off Site,Address,Latitude,Longitude
Camp Verde Heritage Pool,"290 W Apache Trail, Camp Verde, AZ ",34.589764,-111.859961
Outpost Mall,"522 Finnie Flat Road, Camp Verde, AZ ",34.566143,-111.864059
Clarkdale Jerome Elementary School,"1615 Main St, Clarkdale, AZ ",34.766876,-112.068679
Cornville Market,"9420 East Cornville Road, Cornville, AZ ",34.718095,-111.923465
Oak Creek School,"11490 East Purple Sage Road, Cornville, AZ ",34.738721,-111.903648
Mingus High School,"Camino Real, Cottonwood, AZ",34.715142,-112.008888
Verde Village Club House ,"4885 E Broken Saddle Dr, Cottonwood, AZ, United States",34.703533,-111.974285
Main Street ,"Jerome, AZ",34.75105,-112.116369
Rimrock / Lake Montezuma,"3705 E Beaver Creek Rd, Lake Montezuma, AZ ",34.645513,-111.784816
Sedona Posse Grounds,"525 Posse Ground Rd, Sedona, AZ",34.868768,-111.786404
Uptown Public Parking Lot,"260 Schnebly Rd, Sedona, AZ",34.872594,-111.760336
Sedona Cultural Park,"Cultural Park Place, Sedona, AZ, United States",34.851495,-111.830606
Sedona Recycles,"2280 Shelby Drive, Sedona, AZ",34.854594,-111.799579
Village of Oak Creek,"100 Verde Valley School Road, Sedona, AZ 86351",34.779038,-111.765053
