Spaceid,Latitude,Longitude,Meterid,MeterName,Zone
9416100,34.869211,-111.76111,32185,1,Dahling
10482564,34.869238,-111.761101,32164,2,Dahling
11057016,34.869268,-111.761089,32250,3,Dahling
10483805,34.869296,-111.761073,32188,4,Dahling
10492026,34.86932,-111.761061,32147,5,Dahling
10484539,34.869344,-111.761047,32184,6,Dahling
10375305,34.86937,-111.761037,32208,7,Dahling
10375337,34.869397,-111.761024,32176,8,Dahling
11079747,34.869421,-111.761008,32251,9,Dahling
10484142,34.869447,-111.760992,32170,10,Dahling
11056001,34.869475,-111.760983,32252,11,Dahling
10483089,34.869501,-111.760967,32190,12,Dahling
10375963,34.869526,-111.760959,32196,13,Dahling
10474823,34.869551,-111.76094,32165,14,Dahling
10474588,34.869578,-111.760928,32181,15,Dahling
10476436,34.869602,-111.760915,32262,16,Dahling
10487161,34.869626,-111.760903,32187,17,Dahling
10475143,34.869958,-111.760654,32239,18,Agave
10483832,34.869983,-111.76064,32203,19,Agave
9234888,34.87001,-111.760623,32199,20,Agave
10492020,34.870046,-111.7606,32240,21,Agave
10474493,34.870072,-111.760583,32186,22,Agave
11056000,34.870095,-111.760567,32257,23,Agave
10477236,34.869172,-111.761329,32136,24,Black
10474851,34.869197,-111.761316,32246,25,Black
10492024,34.869223,-111.761309,32138,26,Black
10483820,34.86925,-111.761296,32149,27,Black
10484386,34.869277,-111.761281,32134,28,Black
10484542,34.869303,-111.761272,32132,29,Black
10467496,34.869329,-111.76126,32225,30,Black
10492022,34.869356,-111.76125,32137,31,Black
10484566,34.869383,-111.761235,32139,32,Black
10474697,34.869411,-111.761226,32140,33,Black
10474791,34.869436,-111.761214,32255,34,Black
10484917,34.869463,-111.7612,32148,35,Black
10491834,34.869487,-111.761189,32141,36,Black
10483871,34.869514,-111.761173,32144,37,Black
10492025,34.869545,-111.76116,32178,38,Black
10375336,34.870038,-111.760861,32236,39,Outlaw
10375313,34.870067,-111.760848,32231,40,Outlaw
10375320,34.870107,-111.760822,32230,41,Outlaw
11055999,34.870132,-111.760801,32253,42,Outlaw
10376279,34.870157,-111.760781,32229,43,Outlaw
10375311,34.870181,-111.760761,32221,44,Outlaw
10375315,34.870203,-111.760748,32232,45,Outlaw
10375301,34.870227,-111.760728,32237,46,Outlaw
10375328,34.870251,-111.760708,32234,47,Outlaw
10375332,34.870273,-111.760692,32233,48,Outlaw
10375318,34.870298,-111.760672,32241,49,Outlaw
10375314,34.87032,-111.760652,32223,50,Outlaw
10375298,34.870344,-111.760637,32207,51,Outlaw
11056500,34.87037,-111.760622,32256,52,Outlaw
10375854,34.870396,-111.760596,32224,53,Outlaw
10375325,34.870418,-111.760575,32205,54,Outlaw
10493910,34.870443,-111.760554,32217,55,Outlaw
10375326,34.870466,-111.760537,32216,56,Outlaw
10492027,34.87049,-111.760518,32211,57,Outlaw
10375310,34.870516,-111.760495,32218,58,Outlaw
10375309,34.870556,-111.760458,32213,59,Outlaw
10375307,34.870583,-111.760433,32214,60,Outlaw
10375974,34.870607,-111.760411,32215,61,Outlaw
10375322,34.870631,-111.760391,32212,62,Outlaw
10374429,34.870659,-111.760368,32193,63,Outlaw
10375330,34.870948,-111.760062,32206,64,Oaxaca
10370720,34.870971,-111.76006,32189,65,Oaxaca
10375316,34.870994,-111.760046,32228,66,Oaxaca
10375331,34.871018,-111.760031,32198,67,Oaxaca
10375333,34.871039,-111.760004,32192,68,Oaxaca
10375319,34.871059,-111.759982,32179,69,Oaxaca
10375474,34.871081,-111.75996,32227,70,Oaxaca
9416105,34.871103,-111.759936,32191,71,Oaxaca
10375334,34.871123,-111.759911,32195,72,Oaxaca
10375299,34.871148,-111.759894,32204,73,Oaxaca
10375329,34.871165,-111.75987,32155,74,Oaxaca
10375303,34.871186,-111.759845,32156,75,Oaxaca
10493891,34.871205,-111.759813,32222,76,Oaxaca
10375304,34.871228,-111.7598,32151,77,Oaxaca
10375321,34.871251,-111.759773,32171,78,Oaxaca
10375327,34.87127,-111.759758,32150,79,Oaxaca
10491835,34.871286,-111.759733,32143,80,Oaxaca
10375297,34.871306,-111.759708,32177,81,Oaxaca
10480126,34.871328,-111.759688,32142,82,Oaxaca
10375335,34.871347,-111.759666,32175,83,Oaxaca
10482617,34.871368,-111.759642,32163,84,Oaxaca
10483831,34.871388,-111.75962,32168,85,Oaxaca
10375323,34.871408,-111.759596,32172,86,Oaxaca
10375857,34.871428,-111.759573,32166,87,Oaxaca
11056003,34.871785,-111.759087,32244,88,Matterhorn
11057125,34.871814,-111.759039,32245,89,Matterhorn
11055998,34.871834,-111.759014,32247,90,Matterhorn
10375856,34.871851,-111.758988,32174,91,Matterhorn
10375312,34.871867,-111.758961,32153,92,Matterhorn
8699671,34.871884,-111.758933,32169,93,Matterhorn
10475002,34.871903,-111.758905,32145,94,Matterhorn
10375317,34.871921,-111.758881,32152,95,Matterhorn
10861586,34.871938,-111.758851,32248,96,Matterhorn
11079719,34.871955,-111.758818,32249,97,Matterhorn
10475048,34.871972,-111.758794,32197,98,Matterhorn
10375306,34.871991,-111.75877,32173,99,Matterhorn
10492019,34.872008,-111.758742,32202,100,Matterhorn
10375302,34.872032,-111.758719,32235,101,Matterhorn
